item,pair,n,stat,p,p_holm
intermediality_index,A-B,9,20.5,0.84375,1.0
intermediality_index,A-C,9,16.5,0.515625,1.0
intermediality_index,B-C,9,18.0,1.0,1.0
agency_index,A-B,9,4.0,0.0546875,0.1640625
agency_index,A-C,9,11.0,0.3828125,0.515625
agency_index,B-C,9,16.5,0.515625,0.515625
