participant_id,condition,phase,item,n_missing,n_total
5747E,A,post,B_9,0,1
5747E,A,pre,A_1,0,1
5747E,A,pre,A_2,0,1
5747E,A,pre,A_3,0,1
5747E,A,pre,A_4,0,1
5747E,A,pre,A_5,0,1
5747E,A,pre,A_6,0,1
5747E,A,pre,A_7,0,1
5747E,B,post,B_1,0,1
5747E,B,post,B_10,0,1
5747E,B,post,B_11,0,1
5747E,B,post,B_12,0,1
5747E,B,post,B_2,0,1
5747E,B,post,B_3,0,1
5747E,B,post,B_4,0,1
5747E,B,post,B_5,0,1
5747E,B,post,B_6,0,1
5747E,B,post,B_7,0,1
5747E,B,post,B_8,0,1
5747E,B,post,B_9,0,1
5747E,B,pre,A_1,0,1
5747E,B,pre,A_2,0,1
5747E,B,pre,A_3,0,1
5747E,B,pre,A_4,0,1
5747E,B,pre,A_5,0,1
5747E,B,pre,A_6,0,1
5747E,B,pre,A_7,0,1
5747E,C,post,B_1,0,1
5747E,C,post,B_10,0,1
5747E,C,post,B_11,0,1
5747E,C,post,B_12,0,1
5747E,C,post,B_2,0,1
5747E,C,post,B_3,0,1
5747E,C,post,B_4,0,1
5747E,C,post,B_5,0,1
5747E,C,post,B_6,0,1
5747E,C,post,B_7,0,1
5747E,C,post,B_8,0,1
5747E,C,post,B_9,0,1
5747E,C,pre,A_1,0,1
5747E,C,pre,A_2,0,1
5747E,C,pre,A_3,0,1
5747E,C,pre,A_4,0,1
5747E,C,pre,A_5,0,1
5747E,C,pre,A_6,0,1
5747E,C,pre,A_7,0,1
6770L,A,post,B_1,0,1
6770L,A,post,B_10,0,1
6770L,A,post,B_11,0,1
6770L,A,post,B_12,0,1
6770L,A,post,B_2,0,1
6770L,A,post,B_3,0,1
6770L,A,post,B_4,0,1
6770L,A,post,B_5,0,1
6770L,A,post,B_6,0,1
6770L,A,post,B_7,0,1
6770L,A,post,B_8,0,1
6770L,A,post,B_9,0,1
6770L,A,pre,A_1,0,1
6770L,A,pre,A_2,0,1
6770L,A,pre,A_3,0,1
6770L,A,pre,A_4,0,1
6770L,A,pre,A_5,0,1
6770L,A,pre,A_6,0,1
6770L,A,pre,A_7,0,1
6770L,B,post,B_1,0,1
6770L,B,post,B_10,0,1
6770L,B,post,B_11,0,1
6770L,B,post,B_12,0,1
6770L,B,post,B_2,0,1
6770L,B,post,B_3,0,1
6770L,B,post,B_4,0,1
6770L,B,post,B_5,0,1
6770L,B,post,B_6,0,1
6770L,B,post,B_7,0,1
6770L,B,post,B_8,0,1
6770L,B,post,B_9,0,1
6770L,B,pre,A_1,0,1
6770L,B,pre,A_2,0,1
6770L,B,pre,A_3,0,1
6770L,B,pre,A_4,0,1
6770L,B,pre,A_5,0,1
6770L,B,pre,A_6,0,1
6770L,B,pre,A_7,0,1
6770L,C,post,B_1,0,1
6770L,C,post,B_10,0,1
6770L,C,post,B_11,0,1
6770L,C,post,B_12,0,1
6770L,C,post,B_2,0,1
6770L,C,post,B_3,0,1
6770L,C,post,B_4,0,1
6770L,C,post,B_5,0,1
6770L,C,post,B_6,0,1
6770L,C,post,B_7,0,1
6770L,C,post,B_8,0,1
6770L,C,post,B_9,0,1
6770L,C,pre,A_1,0,1
6770L,C,pre,A_2,0,1
6770L,C,pre,A_3,0,1
6770L,C,pre,A_4,0,1
6770L,C,pre,A_5,0,1
6770L,C,pre,A_6,0,1
6770L,C,pre,A_7,0,1
7974C,A,post,B_1,0,1
7974C,A,post,B_10,0,1
7974C,A,post,B_11,0,1
7974C,A,post,B_12,0,1
7974C,A,post,B_2,0,1
7974C,A,post,B_3,0,1
7974C,A,post,B_4,0,1
7974C,A,post,B_5,0,1
7974C,A,post,B_6,0,1
7974C,A,post,B_7,0,1
7974C,A,post,B_8,0,1
7974C,A,post,B_9,0,1
7974C,A,pre,A_1,0,1
7974C,A,pre,A_2,0,1
7974C,A,pre,A_3,0,1
7974C,A,pre,A_4,0,1
7974C,A,pre,A_5,0,1
7974C,A,pre,A_6,0,1
7974C,A,pre,A_7,0,1
7974C,B,post,B_1,0,1
7974C,B,post,B_10,0,1
7974C,B,post,B_11,0,1
7974C,B,post,B_12,0,1
7974C,B,post,B_2,0,1
7974C,B,post,B_3,0,1
7974C,B,post,B_4,0,1
7974C,B,post,B_5,0,1
7974C,B,post,B_6,0,1
7974C,B,post,B_7,0,1
7974C,B,post,B_8,0,1
7974C,B,post,B_9,0,1
7974C,B,pre,A_1,0,1
7974C,B,pre,A_2,0,1
7974C,B,pre,A_3,0,1
7974C,B,pre,A_4,0,1
7974C,B,pre,A_5,0,1
7974C,B,pre,A_6,0,1
7974C,B,pre,A_7,0,1
7974C,C,post,B_1,0,1
7974C,C,post,B_10,0,1
7974C,C,post,B_11,0,1
7974C,C,post,B_12,0,1
7974C,C,post,B_2,0,1
7974C,C,post,B_3,0,1
7974C,C,post,B_4,0,1
7974C,C,post,B_5,0,1
7974C,C,post,B_6,0,1
7974C,C,post,B_7,0,1
7974C,C,post,B_8,0,1
7974C,C,post,B_9,0,1
7974C,C,pre,A_1,0,1
7974C,C,pre,A_2,0,1
7974C,C,pre,A_3,0,1
7974C,C,pre,A_4,0,1
7974C,C,pre,A_5,0,1
7974C,C,pre,A_6,0,1
7974C,C,pre,A_7,0,1
1661J,A,post,__TOTAL__,0,12
1661J,A,pre,__TOTAL__,0,7
1661J,B,post,__TOTAL__,0,12
1661J,B,pre,__TOTAL__,0,7
1661J,C,post,__TOTAL__,0,12
1661J,C,pre,__TOTAL__,0,7
3483M,A,post,__TOTAL__,0,12
3483M,A,pre,__TOTAL__,0,7
3483M,B,post,__TOTAL__,0,12
3483M,B,pre,__TOTAL__,0,7
3483M,C,post,__TOTAL__,0,12
3483M,C,pre,__TOTAL__,0,7
4069S,A,post,__TOTAL__,0,12
4069S,A,pre,__TOTAL__,0,7
4069S,B,post,__TOTAL__,0,12
4069S,B,pre,__TOTAL__,0,7
4069S,C,post,__TOTAL__,0,12
4069S,C,pre,__TOTAL__,0,7
4939Z,A,post,__TOTAL__,0,12
4939Z,A,pre,__TOTAL__,0,7
4939Z,B,post,__TOTAL__,0,12
4939Z,B,pre,__TOTAL__,0,7
4939Z,C,post,__TOTAL__,0,12
4939Z,C,pre,__TOTAL__,0,7
5220H,A,post,__TOTAL__,0,12
5220H,A,pre,__TOTAL__,0,7
5220H,B,post,__TOTAL__,0,12
5220H,B,pre,__TOTAL__,0,7
5220H,C,post,__TOTAL__,0,12
5220H,C,pre,__TOTAL__,0,7
5344J,A,post,__TOTAL__,0,12
5344J,A,pre,__TOTAL__,0,7
5344J,B,post,__TOTAL__,0,12
5344J,B,pre,__TOTAL__,0,7
5344J,C,post,__TOTAL__,0,12
5344J,C,pre,__TOTAL__,0,7
5747E,A,post,__TOTAL__,0,12
5747E,A,pre,__TOTAL__,0,7
5747E,B,post,__TOTAL__,0,12
5747E,B,pre,__TOTAL__,0,7
5747E,C,post,__TOTAL__,0,12
5747E,C,pre,__TOTAL__,0,7
6770L,A,post,__TOTAL__,0,12
6770L,A,pre,__TOTAL__,0,7
6770L,B,post,__TOTAL__,0,12
6770L,B,pre,__TOTAL__,0,7
6770L,C,post,__TOTAL__,0,12
6770L,C,pre,__TOTAL__,0,7
7974C,A,post,__TOTAL__,0,12
7974C,A,pre,__TOTAL__,0,7
7974C,B,post,__TOTAL__,0,12
7974C,B,pre,__TOTAL__,0,7
7974C,C,post,__TOTAL__,0,12
7974C,C,pre,__TOTAL__,0,7
