item,condition,n,mean,sd,median,iqr
A_1,A,8,5.375,1.407885953173359,5.5,1.5
A_1,B,8,4.875,1.3562026818605375,5.5,2.25
A_1,C,8,5.5,1.3093073414159542,5.5,1.25
A_2,A,8,5.875,1.246423454758225,6.0,0.25
A_2,B,8,4.125,2.356601669474803,4.5,4.0
A_2,C,8,4.25,1.8322507626258087,4.0,1.75
A_3,A,8,5.375,1.1877349391654208,6.0,0.5
A_3,B,8,3.625,1.5059406173077154,4.0,2.25
A_3,C,8,5.25,0.8864052604279183,5.0,0.25
A_4,A,8,4.75,1.0350983390135313,5.0,1.25
A_4,B,8,4.25,1.7525491637693282,4.5,3.25
A_4,C,8,4.75,1.4880476182856899,4.5,2.25
A_5,A,8,5.125,1.1259916264596033,5.0,2.0
A_5,B,8,5.0,1.3093073414159542,5.0,2.0
A_5,C,8,5.875,0.8345229603962802,6.0,1.25
A_6,A,8,3.25,1.3887301496588271,3.0,2.0
A_6,B,8,3.5,2.0701966780270626,3.5,3.5
A_6,C,8,3.875,1.246423454758225,4.0,1.25
A_7,A,8,5.625,1.0606601717798212,5.5,1.25
A_7,B,8,4.375,2.065879266282796,4.5,3.25
A_7,C,8,5.0,1.6035674514745464,5.0,2.5
B_1,A,8,4.25,1.9820624179302297,4.0,2.75
B_1,B,8,6.375,0.7440238091428449,6.5,1.0
B_1,C,8,6.0,0.9258200997725514,6.0,0.25
B_2,A,8,4.75,2.3145502494313788,6.0,4.25
B_2,B,8,5.25,1.8322507626258087,6.0,1.75
B_2,C,8,4.875,1.9594095320493148,5.5,3.25
B_3,A,8,5.5,1.1952286093343936,6.0,1.0
B_3,B,8,5.75,1.4880476182856899,6.0,1.5
B_3,C,8,6.125,0.6408699444616557,6.0,0.25
B_4,A,8,5.75,1.2817398889233114,6.0,2.25
B_4,B,8,6.25,0.7071067811865476,6.0,1.0
B_4,C,8,5.875,1.6420805617960927,6.0,1.0
B_5,A,8,2.5,1.927248223318863,1.5,3.0
B_5,B,8,2.25,1.3887301496588271,2.0,2.0
B_5,C,8,3.125,2.03100960115899,2.0,2.25
B_6,A,8,2.0,1.4142135623730951,1.5,1.25
B_6,B,8,2.75,1.8322507626258087,2.0,1.75
B_6,C,8,2.0,0.9258200997725514,2.0,0.25
B_7,A,8,3.0,1.1952286093343936,3.0,0.5
B_7,B,8,3.5,2.0701966780270626,3.0,2.5
B_7,C,8,3.75,0.7071067811865476,4.0,0.0
B_8,A,8,5.125,1.8850918886280925,6.0,1.25
B_8,B,8,5.0,1.8516401995451028,5.5,2.5
B_8,C,8,4.5,1.0690449676496976,4.0,0.25
B_9,A,8,4.5,1.4142135623730951,5.0,1.5
B_9,B,8,3.75,1.7525491637693282,3.5,3.25
B_9,C,8,4.625,1.5059406173077154,5.0,2.25
B_10,A,8,4.25,1.4880476182856899,4.5,2.25
B_10,B,8,4.5,1.8516401995451028,4.5,2.5
B_10,C,8,4.25,1.3887301496588271,5.0,0.75
B_11,A,8,6.875,0.3535533905932738,7.0,0.0
B_11,B,8,1.5,1.0690449676496976,1.0,0.25
B_11,C,8,5.25,2.1213203435596424,6.0,2.75
B_12,A,8,1.5,0.7559289460184544,1.0,1.0
B_12,B,8,2.875,2.356601669474803,2.0,2.75
B_12,C,8,3.625,2.615202805574687,3.5,5.0
