item,pair,n,stat,p,p_holm
intermediality_index,A-B,8,12.0,0.4375,0.578125
intermediality_index,A-C,8,13.0,0.53125,0.578125
intermediality_index,B-C,8,10.0,0.578125,0.578125
agency_index,A-B,8,3.0,0.078125,0.234375
agency_index,A-C,8,7.0,0.296875,0.59375
agency_index,B-C,8,15.5,0.7578125,0.7578125
