item,condition,n,mean,sd,median,iqr
intermediality_index,A,8,2.8125,2.1412196124105134,3.5,2.0625
intermediality_index,B,8,3.40625,1.7109808172924843,3.25,2.1875
intermediality_index,C,8,3.15625,1.4138189164710693,3.5,1.75
agency_index,A,8,2.0833333333333335,1.9169254483686045,2.8333333333333335,1.7500000000000004
agency_index,B,8,0.5,1.9107050140703694,1.0,1.4166666666666667
agency_index,C,8,0.875,1.4685864059516662,1.166666666666667,1.5
